V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
26,Dependiente,172063,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,24,Bajo
36,Dependiente,182074,Secundaria,Soltero,Alto,Alta,Masculino,0,0,45,Alto
31,Dependiente,203463,Técnico,Conviviente,Bajo,Alta,Femenino,0,0,40,Bajo
74,Dependiente,109101,Secundaria,Soltero,Alto,Alta,Masculino,0,0,4,Bajo
19,Dependiente,120277,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,30,Medio
36,Dependiente,113397,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Alto
67,NA,190340,Secundaria,Soltero,NA,NA,Masculino,0,0,40,Bajo
37,NA,102541,Técnico,Soltero,NA,NA,Femenino,0,0,40,Bajo
59,Dependiente,31782,Primaria,Soltero,Medio,Media,Masculino,0,0,45,Alto
26,Dependiente,294493,Técnico,Conviviente,Medio,Baja,Masculino,0,0,40,Medio
66,NA,213477,Primaria,Soltero,NA,NA,Masculino,0,0,10,Bajo
52,Dependiente,175622,Técnico,Soltero,Medio,Alta,Femenino,0,0,40,Medio
26,Dependiente,32276,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Bajo
18,NA,348588,Secundaria,Conviviente,NA,NA,Masculino,0,0,25,Bajo
18,Dependiente,270502,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,20,Alto
45,Mixto,198223,Técnico,Soltero,Bajo,Media,Masculino,0,1902,45,Medio
48,Independiente,44434,Superior,Soltero,Alto,Alta,Masculino,0,0,61,Alto
34,Dependiente,306982,Técnico,Soltero,Medio,Media,Masculino,0,0,60,Medio
21,Dependiente,108670,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,40,Alto
36,Dependiente,297449,Técnico,Soltero,Alto,Alta,Masculino,14084,0,40,Alto
25,Dependiente,431861,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Alto
37,Dependiente,154641,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,86,Bajo
44,Dependiente,210525,Secundaria,Soltero,Alto,Alta,Masculino,4800,5200,40,Alto
35,Dependiente,91839,Técnico,Soltero,Alto,Alta,Masculino,7688,0,20,Alto
27,Dependiente,587310,Primaria,Conviviente,Medio,Baja,Masculino,0,0,35,Medio
44,Dependiente,106900,Técnico,Soltero,Bajo,Media,Masculino,0,0,60,Bajo
62,Independiente,223637,Secundaria,Soltero,Alto,Alta,Femenino,0,0,35,Bajo
47,Dependiente,114770,Secundaria,Soltero,Alto,Alta,Femenino,0,0,32,Alto
39,Dependiente,114591,Secundaria,Conviviente,Alto,Baja,Femenino,0,0,40,Bajo
29,Independiente,309778,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Alto
27,Dependiente,200928,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,22,Bajo
35,Dependiente,335704,Secundaria,Soltero,Alto,Alta,M,0,0,40,Bajo
27,Dependiente,176683,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Bajo
37,Dependiente,263094,Técnico,Soltero,Bajo,Media,Masculino,7298,0,40,Alto
38,Mixto,278924,Secundaria,Soltero,Alto,Alta,Masculino,0,0,44,Alto
33,Dependiente,237833,Secundaria,Soltero,Alto,Alta,Femenino,0,0,40,Alto
28,Independiente,38309,Técnico,Conviviente,Bajo,Media,Masculino,6849,0,40,Bajo
23,Dependiente,183327,Secundaria,Conviviente,Alto,Alta,Femenino,0,1594,20,Alto
76,NA,28221,Secundaria,Soltero,NA,NA,Masculino,0,0,40,Alto
30,Dependiente,347166,Técnico,Conviviente,Alto,Alta,Masculino,13550,0,45,Alto
52,Dependiente,185407,Técnico,Soltero,Bajo,Bajo,Masculino,0,0,50,Alto
34,Independiente,173266,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Alto
44,Dependiente,139338,Secundaria,Soltero,Alto,Baja,Masculino,0,0,40,Alto
59,Dependiente,214052,Sin estudios,Soltero,Medio,Alta,Femenino,0,0,40,Medio
32,Dependiente,123429,Primaria,Conviviente,Bajo,Bajo,Masculino,0,0,40,Bajo
21,Dependiente,347292,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Medio
32,Independiente,169973,Superior,Conviviente,Alto,Alta,Femenino,0,0,38,Bajo
39,Dependiente,187847,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Bajo
30,Independiente,370990,Superior,Conviviente,Alto,Alta,Femenino,0,0,40,Alto
21,NA,171156,Secundaria,Conviviente,NA,NA,Femenino,0,0,35,Bajo
42,Dependiente,162140,Técnico,Soltero,Medio,Media,Masculino,7298,0,45,Medio
28,Dependiente,162298,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Medio
19,Dependiente,203319,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,30,Bajo
20,Dependiente,494784,Secundaria,Conviviente,Alto,Media,Femenino,0,0,35,Medio
24,Dependiente,190143,Técnico,Soltero,Medio,Media,Masculino,0,0,40,Medio
22,Dependiente,221533,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,20,Alto
36,Dependiente,169926,Secundaria,Soltero,Alto,Alta,Femenino,0,0,40,Alto
34,Independiente,213722,Secundaria,Soltero,Alto,Alta,Masculino,0,0,57,Alto
46,Dependiente,134727,Secundaria,Soltero,Alto,Baja,Masculino,0,0,43,Alto
43,Dependiente,102180,Superior,Soltero,Alto,Alta,Masculino,0,0,40,Alto
27,Dependiente,165519,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Bajo
34,Dependiente,271933,Superior,Conviviente,Alto,Baja,Femenino,0,0,50,Medio
25,Dependiente,122756,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,35,Medio
31,Dependiente,114691,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Alto
42,Dependiente,124692,Superior,Soltero,Alto,Alta,Masculino,0,0,40,Alto
19,NA,175495,Secundaria,Conviviente,NA,NA,Femenino,0,0,24,Bajo
46,Dependiente,148599,Superior,Soltero,Alto,Alta,Masculino,0,0,50,Alto
43,Dependiente,34007,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Alto
20,Dependiente,238917,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,32,Bajo
56,Dependiente,98630,Primaria,Conviviente,Bajo,Bajo,Masculino,0,0,40,Bajo
23,Dependiente,398904,Técnico,Soltero,Bajo,Bajo,Femenino,0,0,40,Bajo
40,Dependiente,110028,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Alto
60,Dependiente,174486,Secundaria,Caso,Alto,Alta,Femenino,0,0,40,Medio
31,Dependiente,27494,Secundaria,Soltero,Alto,Alta,Masculino,0,0,50,Alto
65,Dependiente,264188,Secundaria,Caso,Alto,Alta,Femenino,0,0,24,Medio
38,Dependiente,199256,Secundaria,Soltero,Alto,Baja,Femenino,0,0,40,Alto
33,Dependiente,217460,Secundaria,Soltero,Alto,Alta,Masculino,0,0,60,Alto
20,Dependiente,157894,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,20,Medio
28,Dependiente,31717,Secundaria,Soltero,Alto,Alta,Masculino,0,0,45,Alto
39,Dependiente,80638,Secundaria,Soltero,Alto,Alta,Masculino,0,0,84,Alto
31,Dependiente,226756,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Alto
30,Dependiente,89735,Secundaria,Conviviente,Alto,Alta,Masculino,0,1504,40,Bajo
23,Dependiente,129345,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,25,Bajo
43,Independiente,347720,Técnico,Conviviente,Bajo,Alta,Masculino,0,0,50,Bajo
22,NA,313786,Secundaria,Soltero,NA,NA,Femenino,0,0,40,Bajo
43,Independiente,301638,Secundaria,Soltero,Alto,Alta,Masculino,0,1579,40,Medio
34,Independiente,98101,Técnico,Soltero,Medio,Media,Masculino,7688,5200,45,Medio
19,Dependiente,119075,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,50,Alto
67,Dependiente,166187,Secundaria,Caso,Medio,Alta,Masculino,0,0,38,Alto
39,Dependiente,305597,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Alto
31,Dependiente,124420,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Bajo
44,Dependiente,291566,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,60,Bajo
53,NA,199665,Técnico,Soltero,NA,NA,Masculino,0,0,30,Alto
31,Independiente,236487,Técnico,Conviviente,Bajo,Bajo,Femenino,0,0,40,Bajo
37,Dependiente,126708,Secundaria,Soltero,Alto,Alta,Femenino,2000,5200,60,Alto
42,Independiente,52781,Superior,Soltero,Medio,Media,Masculino,0,1902,40,Medio
52,Dependiente,202956,Primaria,Soltero,Medio,Media,Masculino,0,0,40,Medio
36,Independiente,293358,Secundaria,Conviviente,Alto,Baja,Femenino,0,0,48,Medio
34,Dependiente,347166,Superior,Conviviente,Alto,Alta,Masculino,0,0,50,Alto
30,Dependiente,287986,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Alto
46,Dependiente,176319,Secundaria,Soltero,Alto,Alta,Femenino,7298,0,40,Alto
18,Dependiente,126071,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Medio
34,Independiente,117503,Técnico,Soltero,Medio,Media,Masculino,0,0,20,Medio
49,Dependiente,143482,Secundaria,Soltero,Alto,Baja,Femenino,0,0,40,Alto
31,Dependiente,407930,Primaria,Soltero,Medio,Media,Masculino,0,0,40,Medio
40,Independiente,456110,Secundaria,Soltero,Alto,Baja,Femenino,0,0,52,Alto
31,Dependiente,58582,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,46,Bajo
67,NA,53588,Secundaria,Caso,NA,NA,Femenino,0,0,40,Bajo
68,Dependiente,217424,Secundaria,Soltero,Alto,Alta,Masculino,0,0,24,Alto
48,Dependiente,278530,Secundaria,Soltero,Alto,Baja,Masculino,0,0,40,Medio
42,Dependiente,42907,Secundaria,Soltero,Alto,Baja,M,0,0,48,Medio
28,Dependiente,90196,Técnico,Soltero,Alto,Alta,Masculino,0,0,45,Alto
32,Dependiente,172714,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Alto
37,Independiente,46814,Técnico,Conviviente,Alto,Alta,Masculino,0,0,38,Alto
52,Dependiente,306108,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Medio
39,Dependiente,297449,Técnico,Soltero,Bajo,Media,Masculino,0,0,40,Medio
60,Dependiente,166330,Secundaria,Soltero,Alto,Alta,Femenino,0,0,40,Bajo
23,Dependiente,140798,Técnico,Conviviente,Bajo,Alta,Femenino,0,0,40,Bajo
33,Dependiente,206609,Técnico,Soltero,Bajo,Media,Masculino,0,0,45,Bajo
41,Dependiente,95168,Secundaria,Conviviente,Alto,Baja,Femenino,0,0,40,Medio
38,Dependiente,73471,Secundaria,Soltero,Alto,Alta,Masculino,0,0,50,Alto
45,Dependiente,190482,Secundaria,Soltero,Alto,Baja,Masculino,0,0,40,Alto
33,Independiente,122220,Secundaria,Soltero,Alto,Alta,Femenino,0,0,40,Alto
40,Dependiente,42703,Técnico,Soltero,Bajo,Alta,Femenino,0,0,40,Bajo
39,Dependiente,154641,Secundaria,Soltero,Alto,Baja,Masculino,0,0,60,Medio
35,Dependiente,166549,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Medio
23,Dependiente,153044,Secundaria,Conviviente,Alto,Baja,Femenino,0,0,7,Alto
31,Dependiente,87418,Técnico,Soltero,Medio,Media,Masculino,0,0,40,Bajo
56,Dependiente,101128,Técnico,Caso,Bajo,Bajo,Masculino,2000,5200,25,Bajo
40,NA,180362,Técnico,Conviviente,NA,NA,Femenino,0,0,40,Bajo
64,Dependiente,149698,Superior,Soltero,Alto,Alta,Masculino,0,0,40,Alto
32,Dependiente,110331,Secundaria,Soltero,Alto,Alta,Masculino,0,0,65,Alto
64,NA,380687,Técnico,Soltero,NA,NA,Femenino,0,0,8,Bajo
26,Mixto,151810,Primaria,Conviviente,Medio,Media,Masculino,0,0,40,Bajo
58,Independiente,198145,Técnico,Soltero,Medio,Media,Masculino,0,0,35,Medio
23,Dependiente,27776,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Medio
62,Dependiente,167098,Técnico,Soltero,Bajo,Media,Masculino,0,0,40,Medio
34,Dependiente,225548,Técnico,Soltero,Bajo,Media,Masculino,0,0,30,Bajo
27,Independiente,315640,Superior,Conviviente,Alto,Alta,Masculino,0,0,20,Alto
39,Mixto,286261,Superior,Conviviente,Alto,Alta,Femenino,0,0,40,Alto
50,Dependiente,176157,Superior,Soltero,Alto,Alta,Masculino,0,0,50,Alto
21,Dependiente,766115,Primaria,Soltero,Medio,Media,Masculino,0,0,35,Bajo
39,Dependiente,209867,Secundaria,Conviviente,Alto,Alta,Femenino,13550,0,45,Alto
36,Dependiente,334291,Secundaria,Soltero,Alto,Alta,Masculino,0,1887,40,Alto
50,Dependiente,278188,Secundaria,Soltero,Alto,Alta,Femenino,0,0,45,Bajo
59,Dependiente,381851,Primaria,Caso,Medio,Alta,Femenino,0,0,40,Medio
28,Dependiente,339372,Técnico,Conviviente,Alto,Alta,Masculino,0,1408,40,Medio
61,Dependiente,202202,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,40,Alto
57,Dependiente,96346,Secundaria,Caso,Alto,Alta,Femenino,0,0,57,Medio
22,NA,244771,Secundaria,Conviviente,NA,NA,f,0,0,40,Bajo
23,Dependiente,278107,Secundaria,Soltero,Alto,Alta,Masculino,0,1573,30,Medio
21,Dependiente,296158,Secundaria,Conviviente,Alto,Alta,Masculino,2000,0,35,Alto
22,Dependiente,235733,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,45,Alto
25,Dependiente,98155,Secundaria,Conviviente,Alto,Baja,Masculino,0,0,40,Alto
42,Independiente,126320,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Bajo
49,Dependiente,180532,Superior,Caso,Alto,Alta,Masculino,0,0,40,Alto
36,Dependiente,33355,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,45,Medio
27,Dependiente,247978,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,40,Bajo
40,Dependiente,130834,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,40,Medio
34,NA,346762,Secundaria,Soltero,NA,NA,Masculino,0,0,84,Bajo
26,Dependiente,183171,Secundaria,Conviviente,Alto,Alta,Masculino,1055,0,32,Medio
27,Dependiente,168470,Técnico,Conviviente,Alto,Alta,Masculino,0,0,40,Medio
45,Dependiente,289230,Técnico,Soltero,Medio,Alta,Femenino,0,0,48,Medio
58,Dependiente,306233,Técnico,Soltero,Medio,Media,Masculino,15024,0,40,Medio
31,Dependiente,182177,Técnico,Soltero,Bajo,Media,Masculino,0,0,40,Bajo
21,Dependiente,197583,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,20,Alto
43,Dependiente,88233,Secundaria,Soltero,Alto,Alta,Masculino,0,0,60,Medio
20,Dependiente,231981,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,32,Alto
26,Dependiente,57512,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Alto
44,Independiente,139161,Técnico,Soltero,Alto,Alta,Femenino,0,1741,40,Bajo
57,Dependiente,57071,Secundaria,Soltero,Alto,Alta,Masculino,3137,0,40,Alto
38,Dependiente,91039,Superior,Soltero,Alto,Alta,Masculino,0,0,65,Alto
71,Dependiente,200418,Sin estudios,Soltero,Alto,Alta,Masculino,0,0,40,Alto
25,Mixto,183575,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Medio
41,Independiente,175149,Secundaria,Soltero,Alto,Alta,Femenino,0,0,38,Alto
23,NA,281668,Primaria,Conviviente,NA,NA,Femenino,0,0,40,Bajo
43,Dependiente,245487,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Medio
17,Dependiente,198146,Secundaria,Conviviente,Alto,Alta,f,0,0,16,Medio
25,Dependiente,353795,Secundaria,Soltero,Alto,Alta,Femenino,3103,0,40,Alto
48,Dependiente,118023,Superior,Soltero,Alto,Alta,Masculino,0,0,13,Bajo
23,Dependiente,313573,Técnico,Conviviente,Medio,Media,Femenino,0,0,25,Bajo
40,Independiente,406463,Superior,Conviviente,Alto,Alta,Femenino,0,0,40,Medio
21,Dependiente,29810,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,50,Alto
40,Dependiente,104235,Superior,Conviviente,Alto,Alta,Masculino,0,0,99,Bajo
19,Dependiente,236940,Secundaria,Conviviente,Alto,Alta,M,0,0,40,Bajo
46,Dependiente,269045,Superior,Soltero,Alto,Alta,Masculino,0,0,40,Alto
49,Dependiente,43348,Superior,Conviviente,Alto,Alta,Masculino,0,0,40,Alto
43,Independiente,92374,Superior,Soltero,Alto,Alta,Femenino,0,0,35,Alto
33,Dependiente,70447,Secundaria,Conviviente,Alto,Media,M,0,0,40,Alto
31,Dependiente,273324,Secundaria,Conviviente,Alto,Alta,Masculino,0,1721,16,Alto
20,Dependiente,290504,Secundaria,Conviviente,Alto,Media,Masculino,0,0,40,Medio
36,Dependiente,172538,Superior,Conviviente,Alto,Alta,Masculino,0,0,40,Bajo
17,Dependiente,209949,Secundaria,Conviviente,Alto,Alta,f,0,1602,12,Alto
50,Mixto,269095,Técnico,Soltero,Alto,Baja,Femenino,0,0,40,Alto
75,Dependiente,242108,Secundaria,Soltero,Alto,Alta,Masculino,2346,0,15,Alto
56,Dependiente,198388,Secundaria,Soltero,Alto,Alta,Femenino,0,0,40,Alto
39,Independiente,301614,Técnico,Soltero,Medio,Media,Masculino,0,0,48,Medio
34,Dependiente,376979,Primaria,Conviviente,Medio,Media,Masculino,0,0,40,Bajo
31,Dependiente,19302,Técnico,Soltero,Bajo,Media,Masculino,0,0,40,Medio
35,Dependiente,24106,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Alto
39,Dependiente,202683,Técnico,Soltero,Medio,Media,Masculino,0,0,40,Bajo
17,Dependiente,234780,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Alto
53,Dependiente,64322,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Bajo
33,Dependiente,314310,Secundaria,Caso,Alto,Alta,Masculino,0,0,20,Bajo
31,Dependiente,323069,Secundaria,Conviviente,Alto,Baja,Femenino,4800,5200,20,Alto
38,Dependiente,163204,Secundaria,Soltero,Alto,Alta,Masculino,3411,0,25,Bajo
22,Dependiente,221745,Secundaria,Soltero,Alto,Alta,Femenino,0,0,40,Alto
35,Dependiente,30529,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Bajo
38,Dependiente,66686,Técnico,Soltero,Bajo,Media,Masculino,0,0,40,Medio
45,Dependiente,181307,Superior,Soltero,Alto,Alta,Masculino,15024,0,43,Alto
47,Dependiente,341762,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Medio
41,NA,211873,Técnico,Soltero,NA,NA,Femenino,0,1628,5,Bajo
22,Dependiente,150683,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,24,Alto
43,Dependiente,247162,Técnico,Conviviente,Alto,Alta,Masculino,0,0,40,Medio
26,Dependiente,155752,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Medio
35,Dependiente,52187,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,30,Alto
34,Dependiente,102858,Secundaria,Conviviente,Alto,Baja,Masculino,0,0,40,Bajo
23,Independiente,103588,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,25,Alto
32,Dependiente,326283,Técnico,Conviviente,Bajo,Alta,Masculino,0,0,40,Bajo
31,Independiente,139455,Técnico,Conviviente,Alto,Alta,Femenino,0,0,40,Alto
53,Independiente,199720,Superior,Soltero,Alto,Alta,Masculino,15024,0,60,Alto
22,Dependiente,146540,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,50,Alto
46,Independiente,325573,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Alto
32,Independiente,566117,Secundaria,Soltero,Alto,Baja,Femenino,0,0,40,Alto
35,Dependiente,73715,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Medio
38,Dependiente,102938,Técnico,Soltero,Bajo,Media,Masculino,0,0,40,Bajo
24,Dependiente,233777,Secundaria,Conviviente,Alto,Baja,Masculino,0,0,50,Alto
51,Dependiente,70767,Secundaria,Soltero,Alto,Media,Femenino,0,0,40,Medio
25,Dependiente,102476,Técnico,Conviviente,Alto,Alta,Masculino,27828,0,50,Alto
28,Dependiente,232945,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,30,Medio
48,Dependiente,273828,Sin estudios,Conviviente,Bajo,Bajo,Masculino,0,0,40,Bajo
18,Dependiente,155021,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,6,Bajo
39,Dependiente,367260,Secundaria,Soltero,Alto,Alta,Masculino,2000,0,80,Alto
26,Dependiente,55929,Técnico,Conviviente,Bajo,Alta,Femenino,0,0,40,Bajo
57,Dependiente,262642,Secundaria,Conviviente,Alto,Media,Femenino,0,0,40,Medio
23,Dependiente,277328,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,32,Alto
62,Dependiente,176811,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Bajo
37,Dependiente,48093,Técnico,Conviviente,Alto,Alta,Masculino,0,0,90,Alto
32,Dependiente,175052,Secundaria,Soltero,Alto,Baja,Femenino,0,0,40,Alto
30,Dependiente,29522,Secundaria,Soltero,Alto,Alta,Femenino,0,0,40,Alto
42,Dependiente,222011,Secundaria,Soltero,Alto,Baja,Femenino,0,0,43,Alto
37,Independiente,80680,Técnico,Soltero,Alto,Baja,Femenino,1151,0,35,Alto
28,Dependiente,411950,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Alto
47,Independiente,100818,Secundaria,Soltero,Alto,Alta,Femenino,0,0,40,Alto
57,Dependiente,142791,Primaria,Caso,Medio,Baja,Femenino,0,1602,3,Bajo
50,Dependiente,213296,Secundaria,Soltero,Alto,Alta,Masculino,0,0,48,Alto
52,Dependiente,38795,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Alto
24,Dependiente,176321,Secundaria,Conviviente,Alto,Baja,Femenino,0,0,40,Bajo
35,Dependiente,282979,Secundaria,Soltero,Alto,Alta,Masculino,5178,0,50,Alto
52,Independiente,40641,Primaria,Soltero,Medio,Media,Masculino,5013,0,40,Medio
49,Dependiente,262116,Superior,Soltero,Alto,Alta,Masculino,0,0,48,Medio
36,Independiente,312785,Técnico,Conviviente,Alto,Alta,Masculino,0,0,35,Bajo
34,Independiente,204461,Superior,Soltero,Alto,Alta,Masculino,0,0,50,Alto
18,Dependiente,338836,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,20,Alto
27,Dependiente,106758,Secundaria,Soltero,Alto,Baja,Femenino,0,0,45,Alto
52,Dependiente,186785,Secundaria,Conviviente,Alto,Alta,Masculino,0,1876,50,Alto
41,Independiente,180096,Técnico,Soltero,Alto,Alta,M,0,0,35,Bajo
26,Dependiente,377754,Secundaria,Conviviente,Alto,Alta,Masculino,0,0,40,Medio
38,Dependiente,186145,Secundaria,Soltero,Alto,Alta,Femenino,0,0,40,Alto
32,Dependiente,197867,Técnico,Soltero,Alto,Baja,Masculino,0,0,50,Alto
39,Dependiente,176186,Secundaria,Soltero,Alto,Alta,Masculino,0,0,40,Alto
24,Dependiente,119704,Secundaria,Soltero,Alto,Alta,Femenino,0,0,40,Alto
33,Dependiente,126223,Secundaria,Conviviente,Alto,Baja,Femenino,0,0,40,Bajo
43,Dependiente,249771,Secundaria,Soltero,Alto,Alta,Masculino,0,0,99,Medio
56,Dependiente,117872,Técnico,Soltero,Alto,Alta,Masculino,0,0,40,Alto
65,Mixto,90907,Sin estudios,Soltero,Medio,Media,Masculino,0,0,40,Bajo
33,Dependiente,192663,Secundaria,Conviviente,Alto,Alta,Femenino,0,0,35,Alto
41,Dependiente,94113,Superior,Soltero,Alto,Alta,Masculino,0,0,60,Alto
26,Dependiente,161007,Técnico,Conviviente,Medio,Media,Masculino,0,0,30,Medio
22,Dependiente,189888,Secundaria,Soltero,Alto,Alta,Masculino,0,0,45,Medio
