edad,tipo_relacion_laboral,impuestos_anuales,nivel_educativo,estado_civil,clase_trabajo,educacion_final,genero,ganancia_capital,perdida_capital,horas_semanales,nivel_ingresos
27.0,Dependiente,176683.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
37.0,Dependiente,263094.0,Técnico,Soltero,Bajo,Media,Masculino,7298.0,0.0,40.0,Alto
38.0,Mixto,278924.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,44.0,Alto
33.0,Dependiente,237833.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,40.0,Alto
28.0,Independiente,38309.0,Técnico,Conviviente,Bajo,Media,Masculino,6849.0,0.0,40.0,Bajo
23.0,Dependiente,183327.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,1594.0,20.0,Alto
76.0,Dependiente,28221.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
30.0,Dependiente,347166.0,Técnico,Conviviente,Alto,Alta,Masculino,13550.0,0.0,45.0,Alto
52.0,Dependiente,185407.0,Técnico,Soltero,Bajo,Baja,Masculino,0.0,0.0,50.0,Alto
34.0,Independiente,173266.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
44.0,Dependiente,139338.0,Secundaria,Soltero,Alto,Baja,Masculino,0.0,0.0,40.0,Alto
59.0,Dependiente,214052.0,Sin estudios,Soltero,Medio,Alta,Femenino,0.0,0.0,40.0,Medio
32.0,Dependiente,123429.0,Primaria,Conviviente,Bajo,Baja,Masculino,0.0,0.0,40.0,Bajo
21.0,Dependiente,347292.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Medio
32.0,Independiente,169973.0,Superior,Conviviente,Alto,Alta,Femenino,0.0,0.0,38.0,Bajo
39.0,Dependiente,187847.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
30.0,Independiente,370990.0,Superior,Conviviente,Alto,Alta,Femenino,0.0,0.0,40.0,Alto
21.0,Dependiente,171156.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,35.0,Bajo
42.0,Dependiente,162140.0,Técnico,Soltero,Medio,Media,Masculino,7298.0,0.0,45.0,Medio
28.0,Dependiente,162298.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Medio
19.0,Dependiente,203319.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,30.0,Bajo
20.0,Dependiente,494784.0,Secundaria,Conviviente,Alto,Media,Femenino,0.0,0.0,35.0,Medio
24.0,Dependiente,190143.0,Técnico,Soltero,Medio,Media,Masculino,0.0,0.0,40.0,Medio
22.0,Dependiente,221533.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,20.0,Alto
36.0,Dependiente,169926.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,40.0,Alto
34.0,Independiente,213722.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,57.0,Alto
46.0,Dependiente,134727.0,Secundaria,Soltero,Alto,Baja,Masculino,0.0,0.0,43.0,Alto
43.0,Dependiente,102180.0,Superior,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
27.0,Dependiente,165519.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
34.0,Dependiente,271933.0,Superior,Conviviente,Alto,Baja,Femenino,0.0,0.0,50.0,Medio
25.0,Dependiente,122756.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,35.0,Medio
31.0,Dependiente,114691.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
42.0,Dependiente,124692.0,Superior,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
19.0,Dependiente,175495.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,24.0,Bajo
46.0,Dependiente,148599.0,Superior,Soltero,Alto,Alta,Masculino,0.0,0.0,50.0,Alto
43.0,Dependiente,34007.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
20.0,Dependiente,238917.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,32.0,Bajo
56.0,Dependiente,98630.0,Primaria,Conviviente,Bajo,Baja,Masculino,0.0,0.0,40.0,Bajo
23.0,Dependiente,398904.0,Técnico,Soltero,Bajo,Baja,Femenino,0.0,0.0,40.0,Bajo
40.0,Dependiente,110028.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
60.0,Dependiente,174486.0,Secundaria,Casado,Alto,Alta,Femenino,0.0,0.0,40.0,Medio
31.0,Dependiente,27494.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,50.0,Alto
65.0,Dependiente,264188.0,Secundaria,Casado,Alto,Alta,Femenino,0.0,0.0,24.0,Medio
38.0,Dependiente,199256.0,Secundaria,Soltero,Alto,Baja,Femenino,0.0,0.0,40.0,Alto
33.0,Dependiente,217460.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,60.0,Alto
20.0,Dependiente,157894.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,20.0,Medio
28.0,Dependiente,31717.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,45.0,Alto
39.0,Dependiente,80638.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,84.0,Alto
31.0,Dependiente,226756.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
30.0,Dependiente,89735.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,1504.0,40.0,Bajo
23.0,Dependiente,129345.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,25.0,Bajo
43.0,Independiente,347720.0,Técnico,Conviviente,Bajo,Alta,Masculino,0.0,0.0,50.0,Bajo
22.0,Dependiente,313786.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,40.0,Bajo
43.0,Independiente,301638.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,1579.0,40.0,Medio
34.0,Independiente,98101.0,Técnico,Soltero,Medio,Media,Masculino,7688.0,5200.0,45.0,Medio
19.0,Dependiente,119075.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,50.0,Alto
67.0,Dependiente,166187.0,Secundaria,Casado,Medio,Alta,Masculino,0.0,0.0,38.0,Alto
39.0,Dependiente,305597.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
31.0,Dependiente,124420.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
44.0,Dependiente,291566.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,60.0,Bajo
53.0,Dependiente,199665.0,Técnico,Soltero,Alto,Alta,Masculino,0.0,0.0,30.0,Alto
31.0,Independiente,236487.0,Técnico,Conviviente,Bajo,Baja,Femenino,0.0,0.0,40.0,Bajo
37.0,Dependiente,126708.0,Secundaria,Soltero,Alto,Alta,Femenino,2000.0,5200.0,60.0,Alto
42.0,Independiente,52781.0,Superior,Soltero,Medio,Media,Masculino,0.0,1902.0,40.0,Medio
52.0,Dependiente,202956.0,Primaria,Soltero,Medio,Media,Masculino,0.0,0.0,40.0,Medio
36.0,Independiente,293358.0,Secundaria,Conviviente,Alto,Baja,Femenino,0.0,0.0,48.0,Medio
34.0,Dependiente,347166.0,Superior,Conviviente,Alto,Alta,Masculino,0.0,0.0,50.0,Alto
30.0,Dependiente,287986.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
46.0,Dependiente,176319.0,Secundaria,Soltero,Alto,Alta,Femenino,7298.0,0.0,40.0,Alto
18.0,Dependiente,126071.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Medio
34.0,Independiente,117503.0,Técnico,Soltero,Medio,Media,Masculino,0.0,0.0,20.0,Medio
49.0,Dependiente,143482.0,Secundaria,Soltero,Alto,Baja,Femenino,0.0,0.0,40.0,Alto
31.0,Dependiente,407930.0,Primaria,Soltero,Medio,Media,Masculino,0.0,0.0,40.0,Medio
40.0,Independiente,456110.0,Secundaria,Soltero,Alto,Baja,Femenino,0.0,0.0,52.0,Alto
31.0,Dependiente,58582.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,46.0,Bajo
67.0,Dependiente,53588.0,Secundaria,Casado,Alto,Alta,Femenino,0.0,0.0,40.0,Bajo
68.0,Dependiente,217424.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,24.0,Alto
48.0,Dependiente,278530.0,Secundaria,Soltero,Alto,Baja,Masculino,0.0,0.0,40.0,Medio
42.0,Dependiente,42907.0,Secundaria,Soltero,Alto,Baja,Masculino,0.0,0.0,48.0,Medio
28.0,Dependiente,90196.0,Técnico,Soltero,Alto,Alta,Masculino,0.0,0.0,45.0,Alto
32.0,Dependiente,172714.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
37.0,Independiente,46814.0,Técnico,Conviviente,Alto,Alta,Masculino,0.0,0.0,38.0,Alto
52.0,Dependiente,306108.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Medio
39.0,Dependiente,297449.0,Técnico,Soltero,Bajo,Media,Masculino,0.0,0.0,40.0,Medio
60.0,Dependiente,166330.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,40.0,Bajo
23.0,Dependiente,140798.0,Técnico,Conviviente,Bajo,Alta,Femenino,0.0,0.0,40.0,Bajo
33.0,Dependiente,206609.0,Técnico,Soltero,Bajo,Media,Masculino,0.0,0.0,45.0,Bajo
41.0,Dependiente,95168.0,Secundaria,Conviviente,Alto,Baja,Femenino,0.0,0.0,40.0,Medio
38.0,Dependiente,73471.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,50.0,Alto
45.0,Dependiente,190482.0,Secundaria,Soltero,Alto,Baja,Masculino,0.0,0.0,40.0,Alto
33.0,Independiente,122220.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,40.0,Alto
40.0,Dependiente,42703.0,Técnico,Soltero,Bajo,Alta,Femenino,0.0,0.0,40.0,Bajo
39.0,Dependiente,154641.0,Secundaria,Soltero,Alto,Baja,Masculino,0.0,0.0,60.0,Medio
35.0,Dependiente,166549.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Medio
23.0,Dependiente,153044.0,Secundaria,Conviviente,Alto,Baja,Femenino,0.0,0.0,7.0,Alto
31.0,Dependiente,87418.0,Técnico,Soltero,Medio,Media,Masculino,0.0,0.0,40.0,Bajo
56.0,Dependiente,101128.0,Técnico,Casado,Bajo,Baja,Masculino,2000.0,5200.0,25.0,Bajo
40.0,Dependiente,180362.0,Técnico,Conviviente,Alto,Alta,Femenino,0.0,0.0,40.0,Bajo
64.0,Dependiente,149698.0,Superior,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
32.0,Dependiente,110331.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,65.0,Alto
64.0,Dependiente,380687.0,Técnico,Soltero,Alto,Alta,Femenino,0.0,0.0,8.0,Bajo
26.0,Mixto,151810.0,Primaria,Conviviente,Medio,Media,Masculino,0.0,0.0,40.0,Bajo
58.0,Independiente,198145.0,Técnico,Soltero,Medio,Media,Masculino,0.0,0.0,35.0,Medio
23.0,Dependiente,27776.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Medio
62.0,Dependiente,167098.0,Técnico,Soltero,Bajo,Media,Masculino,0.0,0.0,40.0,Medio
34.0,Dependiente,225548.0,Técnico,Soltero,Bajo,Media,Masculino,0.0,0.0,30.0,Bajo
27.0,Independiente,315640.0,Superior,Conviviente,Alto,Alta,Masculino,0.0,0.0,20.0,Alto
39.0,Mixto,286261.0,Superior,Conviviente,Alto,Alta,Femenino,0.0,0.0,40.0,Alto
50.0,Dependiente,176157.0,Superior,Soltero,Alto,Alta,Masculino,0.0,0.0,50.0,Alto
21.0,Dependiente,766115.0,Primaria,Soltero,Medio,Media,Masculino,0.0,0.0,35.0,Bajo
39.0,Dependiente,209867.0,Secundaria,Conviviente,Alto,Alta,Femenino,13550.0,0.0,45.0,Alto
36.0,Dependiente,334291.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,1887.0,40.0,Alto
50.0,Dependiente,278188.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,45.0,Bajo
59.0,Dependiente,381851.0,Primaria,Casado,Medio,Alta,Femenino,0.0,0.0,40.0,Medio
28.0,Dependiente,339372.0,Técnico,Conviviente,Alto,Alta,Masculino,0.0,1408.0,40.0,Medio
61.0,Dependiente,202202.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,40.0,Alto
57.0,Dependiente,96346.0,Secundaria,Casado,Alto,Alta,Femenino,0.0,0.0,57.0,Medio
22.0,Dependiente,244771.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,40.0,Bajo
23.0,Dependiente,278107.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,1573.0,30.0,Medio
21.0,Dependiente,296158.0,Secundaria,Conviviente,Alto,Alta,Masculino,2000.0,0.0,35.0,Alto
22.0,Dependiente,235733.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,45.0,Alto
25.0,Dependiente,98155.0,Secundaria,Conviviente,Alto,Baja,Masculino,0.0,0.0,40.0,Alto
42.0,Independiente,126320.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
49.0,Dependiente,180532.0,Superior,Casado,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
36.0,Dependiente,33355.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,45.0,Medio
27.0,Dependiente,247978.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,40.0,Bajo
40.0,Dependiente,130834.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,40.0,Medio
34.0,Dependiente,346762.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,84.0,Bajo
26.0,Dependiente,183171.0,Secundaria,Conviviente,Alto,Alta,Masculino,1055.0,0.0,32.0,Medio
27.0,Dependiente,168470.0,Técnico,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Medio
45.0,Dependiente,289230.0,Técnico,Soltero,Medio,Alta,Femenino,0.0,0.0,48.0,Medio
58.0,Dependiente,306233.0,Técnico,Soltero,Medio,Media,Masculino,15024.0,0.0,40.0,Medio
31.0,Dependiente,182177.0,Técnico,Soltero,Bajo,Media,Masculino,0.0,0.0,40.0,Bajo
21.0,Dependiente,197583.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,20.0,Alto
43.0,Dependiente,88233.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,60.0,Medio
20.0,Dependiente,231981.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,32.0,Alto
26.0,Dependiente,57512.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
44.0,Independiente,139161.0,Técnico,Soltero,Alto,Alta,Femenino,0.0,1741.0,40.0,Bajo
57.0,Dependiente,57071.0,Secundaria,Soltero,Alto,Alta,Masculino,3137.0,0.0,40.0,Alto
38.0,Dependiente,91039.0,Superior,Soltero,Alto,Alta,Masculino,0.0,0.0,65.0,Alto
71.0,Dependiente,200418.0,Sin estudios,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
25.0,Mixto,183575.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Medio
41.0,Independiente,175149.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,38.0,Alto
23.0,Dependiente,281668.0,Primaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,40.0,Bajo
43.0,Dependiente,245487.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Medio
17.0,Dependiente,198146.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,16.0,Medio
25.0,Dependiente,353795.0,Secundaria,Soltero,Alto,Alta,Femenino,3103.0,0.0,40.0,Alto
48.0,Dependiente,118023.0,Superior,Soltero,Alto,Alta,Masculino,0.0,0.0,13.0,Bajo
23.0,Dependiente,313573.0,Técnico,Conviviente,Medio,Media,Femenino,0.0,0.0,25.0,Bajo
40.0,Independiente,406463.0,Superior,Conviviente,Alto,Alta,Femenino,0.0,0.0,40.0,Medio
21.0,Dependiente,29810.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,0.0,50.0,Alto
40.0,Dependiente,104235.0,Superior,Conviviente,Alto,Alta,Masculino,0.0,0.0,99.0,Bajo
19.0,Dependiente,236940.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
46.0,Dependiente,269045.0,Superior,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
49.0,Dependiente,43348.0,Superior,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
43.0,Independiente,92374.0,Superior,Soltero,Alto,Alta,Femenino,0.0,0.0,35.0,Alto
33.0,Dependiente,70447.0,Secundaria,Conviviente,Alto,Media,Masculino,0.0,0.0,40.0,Alto
31.0,Dependiente,273324.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,1721.0,16.0,Alto
20.0,Dependiente,290504.0,Secundaria,Conviviente,Alto,Media,Masculino,0.0,0.0,40.0,Medio
36.0,Dependiente,172538.0,Superior,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
17.0,Dependiente,209949.0,Secundaria,Conviviente,Alto,Alta,Femenino,0.0,1602.0,12.0,Alto
50.0,Mixto,269095.0,Técnico,Soltero,Alto,Baja,Femenino,0.0,0.0,40.0,Alto
75.0,Dependiente,242108.0,Secundaria,Soltero,Alto,Alta,Masculino,2346.0,0.0,15.0,Alto
56.0,Dependiente,198388.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,40.0,Alto
39.0,Independiente,301614.0,Técnico,Soltero,Medio,Media,Masculino,0.0,0.0,48.0,Medio
34.0,Dependiente,376979.0,Primaria,Conviviente,Medio,Media,Masculino,0.0,0.0,40.0,Bajo
31.0,Dependiente,19302.0,Técnico,Soltero,Bajo,Media,Masculino,0.0,0.0,40.0,Medio
35.0,Dependiente,24106.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
39.0,Dependiente,202683.0,Técnico,Soltero,Medio,Media,Masculino,0.0,0.0,40.0,Bajo
17.0,Dependiente,234780.0,Secundaria,Conviviente,Alto,Alta,Masculino,0.0,0.0,40.0,Alto
53.0,Dependiente,64322.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
33.0,Dependiente,314310.0,Secundaria,Casado,Alto,Alta,Masculino,0.0,0.0,20.0,Bajo
31.0,Dependiente,323069.0,Secundaria,Conviviente,Alto,Baja,Femenino,4800.0,5200.0,20.0,Alto
38.0,Dependiente,163204.0,Secundaria,Soltero,Alto,Alta,Masculino,3411.0,0.0,25.0,Bajo
22.0,Dependiente,221745.0,Secundaria,Soltero,Alto,Alta,Femenino,0.0,0.0,40.0,Alto
35.0,Dependiente,30529.0,Secundaria,Soltero,Alto,Alta,Masculino,0.0,0.0,40.0,Bajo
38.0,Dependiente,66686.0,Técnico,Soltero,Bajo,Media,Masculino,0.0,0.0,40.0,Medio
45.0,Dependiente,181307.0,Superior,Soltero,Alto,Alta,Masculino,15024.0,0.0,43.0,Alto
